Year,Week,Ranking,TV,movie_zh_name,category,actor,imdb_score
2020,33,1,It's Okay to Not Be Okay,雖然是精神病但沒關係,"浪漫, 喜劇",Kim Soo-hyun,8.6
2020,33,1,It's Okay to Not Be Okay,雖然是精神病但沒關係,"浪漫, 喜劇",Seo Yea-ji,8.6
2020,33,1,It's Okay to Not Be Okay,雖然是精神病但沒關係,"浪漫, 喜劇",Park Gyu-young,8.6
2020,33,1,It's Okay to Not Be Okay,雖然是精神病但沒關係,"浪漫, 喜劇",Oh Jung-se,8.6
2020,33,1,It's Okay to Not Be Okay,雖然是精神病但沒關係,"浪漫, 喜劇",Park Jin-joo,8.6
2020,33,1,It's Okay to Not Be Okay,雖然是精神病但沒關係,"浪漫, 喜劇",Kim Chang-wan,8.6
2020,33,1,It's Okay to Not Be Okay,雖然是精神病但沒關係,"浪漫, 喜劇",Jang Young-nam,8.6
2020,33,1,It's Okay to Not Be Okay,雖然是精神病但沒關係,"浪漫, 喜劇",Kim Mi-kyeong,8.6
2020,33,1,It's Okay to Not Be Okay,雖然是精神病但沒關係,"浪漫, 喜劇",Kang Ki-doong,8.6
2020,33,10,Mystic Pop-up Bar,雙甲路邊攤,"網路漫改, 奇幻",Lee Joon-hyuk,8
2020,33,10,Mystic Pop-up Bar,雙甲路邊攤,"網路漫改, 奇幻",Hwang Jung-eum,8
2020,33,10,Mystic Pop-up Bar,雙甲路邊攤,"網路漫改, 奇幻",Yook Sung-jae,8
2020,33,10,Mystic Pop-up Bar,雙甲路邊攤,"網路漫改, 奇幻",Choi Won-young,8
2020,33,10,Mystic Pop-up Bar,雙甲路邊攤,"網路漫改, 奇幻",Kim Yong-geon,8
2020,33,10,Mystic Pop-up Bar,雙甲路邊攤,"網路漫改, 奇幻",Kim Mi-kyeong,8
2020,33,10,Mystic Pop-up Bar,雙甲路邊攤,"網路漫改, 奇幻",Jeong Da-eun,8
2020,33,10,Mystic Pop-up Bar,雙甲路邊攤,"網路漫改, 奇幻",Ahn Tae-hwan,8
2020,33,10,Mystic Pop-up Bar,雙甲路邊攤,"網路漫改, 奇幻",Park Eun-hye,8
2020,33,3,Was It Love?,我們，愛過嗎？,"浪漫, 喜劇",Song Ji-hyo,7.1
2020,33,3,Was It Love?,我們，愛過嗎？,"浪漫, 喜劇",Son Ho-jun,7.1
2020,33,3,Was It Love?,我們，愛過嗎？,"浪漫, 喜劇",Song Jong-ho,7.1
2020,33,3,Was It Love?,我們，愛過嗎？,"浪漫, 喜劇",Kim Min-jun,7.1
2020,33,3,Was It Love?,我們，愛過嗎？,"浪漫, 喜劇",Koo Ja-sung,7.1
2020,33,3,Was It Love?,我們，愛過嗎？,"浪漫, 喜劇",Kim Da-som,7.1
2020,33,3,Was It Love?,我們，愛過嗎？,"浪漫, 喜劇",Kim Mi-kyeong,7.1
2020,33,3,Was It Love?,我們，愛過嗎？,"浪漫, 喜劇",Jin Hee-kyung,7.1
