backdrop_path,first_air_date,genre_ids,id,name,origin_country,original_language,original_name,overview,popularity,poster_path,vote_average,vote_count
/9XvDKzoFqDLepuC3K3FFXCuD8jc.jpg,2022-02-28,,154825,Business Proposal,,ko,사내맞선,An ordinary office worker disguises herself and goes on a blind date with her attractive boss in the place of her friend to end this unwanted marriage blind date after her request.,119.774,/iLh7L8ZuvgdxFaM9sImyv2iKYLe.jpg,8.3,49
/jvFfHNiCKPWRULvkmeocyjm4QtE.jpg,2022-02-12,,129888,Twenty Five Twenty One,,ko,스물다섯 스물하나,"The dreams of two young people are crushed by an overwhelming financial crisis in the 1990s. But when they reunite at the ages of 25 and 21, the spirited pair finds friendship and affection in times of adversity as they venture into adulthood together.",47.492,/yCQFnmYhYf7XALMka2EoBRAFmPO.jpg,8.6,28
/pCqcWN0Wbbr30k9XlTms0deWhkT.jpg,2022-03-19,,196493,Let's Open,,zh,來吧！營業中,"In this reality TV series, a group of Taiwanese celebrities must work together to convert an old house by the sea into a full-fledged restaurant.",16.538,/nphspnFNTrHoMnyzfrNZqYo1RyL.jpg,6,1
/8NMOaMMtxSypZsMnt34aujxBZWM.jpg,2022-02-16,,131028,Thirty-Nine,,ko,"서른, 아홉","Leaning on each other through thick and thin, a trio of best friends stand together as they experience life, love and loss on the brink of turning 40.",8.198,/waGdgjWyrNWCkjalIytRT8SirHa.jpg,9.4,12
NA,,,59420,Nine Thirty Curtain,,en,Nine Thirty Curtain,"Nine Thirty Curtain was a dramatic anthology television series which aired on the DuMont Television Network from October 16, 1953 to January 1, 1954. The 30-minute show aired on Fridays at 9:30pm ET.",0.6,NA,0,0
/v7tP30lhgEs3QwJhkrTRW6eHwXV.jpg,2022-04-09,,135840,Our Blues,,ko,우리들의 블루스,Romance is sweet and bitter — and life riddled with ups and downs — in multiple stories about people who live and work on bustling Jeju island.,56.05,/sT5Mlt5UmKiGfBisccwmD4LnPRD.jpg,9.3,11
/isPWZirQUCHpQ8aJZHa5s3EVXv1.jpg,2016-01-21,,62643,DC's Legends of Tomorrow,,en,DC's Legends of Tomorrow,"When heroes alone are not enough ... the world needs legends. Having seen the future, one he will desperately try to prevent from happening, time-traveling rogue Rip Hunter is tasked with assembling a disparate group of both heroes and villains to confront an unstoppable threat — one in which not only is the planet at stake, but all of time itself. Can this ragtag team defeat an immortal threat unlike anything they have ever known?",90.203,/AcEFDh272YVTR6B6zrrusk8BjJG.jpg,7.4,1931
/glTH5KKGu6XpsmWJPGsnjcEr5q0.jpg,2013-10-09,,48860,The Tomorrow People,,en,The Tomorrow People,"The story of several young people from around the world who represent the next stage in human evolution, possessing special powers, including the ability to teleport and communicate with each other telepathically. Together they work to defeat the forces of evil.",14.96,/3EavFY6TuhDm4ERbDGrZ1oEqB57.jpg,7,249
/pXSLLoXeqDyVzgOPg1NJThIQCUl.jpg,2008-07-06,,64516,Tomorrow,,ja,Tomorrow,,6.917,/ueYsKCX69nAfwuQC4D7IVK5BkDH.jpg,0,0
/3QWMhYFzVBtKbyNnvGRTIybDwxZ.jpg,2016-10-04,,67134,No Tomorrow,,en,No Tomorrow,"When a risk-averse, straight-arrowed, female procurement manager at an Amazon-like distribution center falls in love with a free-spirited man who lives life to the fullest because he believes the apocalypse is imminent, they embark on a quest together to fulfill their individual bucket lists, with comedic and poignant results.",5.205,/62aSvOG1GaIyR4TsqToOEnsmMJb.jpg,6.2,41
