Year,Week,Ranking,TV,backdrop_path,first_air_date,genre_ids,id,name,origin_country,original_language,original_name,overview,popularity,poster_path,vote_average,vote_count
2020,33,3,Three Kingdoms,/q4aKVMmOo2EzOcQ5xbCoh3sIV3L.jpg,2010-05-02,,18604,Three Kingdoms,,zh,三国,A Chinese television series based on the events in the late Eastern Han Dynasty and the Three Kingdoms period.,13.422,/nx8r4hBNddMT0cTYbvAV4ttrE2v.jpg,7.3,13
2020,33,3,Three Kingdoms,/fMKeS8gH5kXG0cmDAwTEQjrZYHU.jpg,1994-10-23,,72645,The Romance of the Three Kingdoms,,zh,三国演义,"Romance of the Three Kingdoms is a Chinese television series adapted from the classical 14th century novel of the same title by Luo Guanzhong.  It is part historical, part legend, and part mythical – romanticises and dramatizes the lives of feudal lords and their retainers, who tried to replace the dwindling Han dynasty or restore it. The focus is mainly on the three power blocs that emerged from the remnants of the Han dynasty, and would eventually form the three states of Cao Wei, Shu Han, and Eastern Wu. The novel deals with the plots, personal and military battles, intrigues, and struggles of these states to achieve dominance for almost 100 years.",15.071,/wfeRCZsElkFuXmN7SxzeAD66Tdv.jpg,9.3,12
2020,33,3,Three Kingdoms,/7hoaUmFIhih42sk4cgQ9AR16Oq9.jpg,2018-03-27,,78326,Secret of the Three Kingdoms,,zh,三国机密之潜龙在渊,"The epic story of twin brothers Liu Xie and Liu Ping of the late Eastern Han Dynasty, one raised as an emperor and the other a commoner.",7.531,/zUmLrhgAIvyovIHO01n6Ga8GNe2.jpg,8,2
2020,33,3,Three Kingdoms,NA,2010-04-03,,60158,SD Gundam Legend of the Three Kingdoms Brave Battle Warriors,,en,SD Gundam Legend of the Three Kingdoms Brave Battle Warriors,,0.6,/k3IRaCcUt2CxrbdqrjSNnSFMdtj.jpg,0,0
2020,33,3,Three Kingdoms,/mA4SsTAQaYJ3GKUcJXWWLtxlZO9.jpg,2012-07-09,,38927,Three Kingdoms RPG,,cn,回到三國,"Vincent Sima is a lazy slacker addicted to video games, especially ""Three Kingdoms"" where he is a master in game strategy. When a typhoon occurs in Hong Kong, he is transported back in time to the Three Kingdoms era of Chinese history, where he meets several historical figures and becomes a valuable strategist in shaping key historical events.",3.781,/wagF5UWUNZ3pvtzFqJdRUsQqUmi.jpg,0,0
2020,33,3,Three Kingdoms,/kzArmYkpUr6hAaRLtAtcRiSzjuI.jpg,1991-10-18,,43853,Romance of the Three Kingdoms,,ja,横山光輝 三国志,"Yokoyama Mitsuteru Sangokushi is a Japanese anime series based on the Sangokushi manga by Mitsuteru Yokoyama, itself based on Eiji Yoshikawa's retelling of the Chinese literary classic Romance of the Three Kingdoms.",6.515,/w8nkt5fREdXUEd4S73yiLWdp5vb.jpg,7,2
2020,33,3,Three Kingdoms,/ocGZRy5l0kbThK5CY2lMDidsIbe.jpg,2009-08-01,,81191,Romance of the Three Kingdoms,,zh,三国演义,Romance of the Three Kingdoms is a 2009 animated television series joint produced by the Beijing Huihuang Animation Company of China and Future Planet of Japan. It was broadcast in Japan starting April 2010.,4.341,/uDBzMYVKl4L0Vutx6ZgvhxzIf32.jpg,10,2
2020,33,3,Three Kingdoms,NA,2019-02-14,,86809,Romance of Three Kingdoms,,zh,三國 演義,,0.6,/6koRMmowwQRn2gWQnpOQ8IEZ4p2.jpg,0,0
2020,33,3,Three Kingdoms,/2FYhOucXlmONfXOE86MEkziHJDQ.jpg,2016-03-02,,127828,Legend Hero Samgugjeon,,ko,레전드히어로 삼국전,"Legend Hero Samgugjeon is a Korean tokusatsu television series. Produced by MoonWatcher and Synergy Media. The Series is broadcasted in EBS1.

Legend Hero Samgugjeon is heavily based off of the Romance of the Three Kingdoms. Many elements of the original story are carried over to the show. Many characters share names and attributes with characters of the original story. Several events in the show are also based on events in the classic story.",4.847,/cww4DsasoIKoaA0ahA6svMWqcLL.jpg,9,1
2020,33,3,Three Kingdoms,/zHCLr4BjOBDk56iWZcjMdLRmwUb.jpg,2020-12-12,,197234,新解釈・三國志－異聞,,ja,新解釈・三國志－異聞,,0.633,/j3iD2N1fSIprHIWx5yLkulN0DiA.jpg,0,0
