TV,backdrop_path,first_air_date,genre_ids,id,name,origin_country,original_language,original_name,overview,popularity,poster_path,vote_average,vote_count
Three Kingdoms,/q4aKVMmOo2EzOcQ5xbCoh3sIV3L.jpg,2010-05-02,18,18604,Three Kingdoms,CN,zh,三国,A Chinese television series based on the events in the late Eastern Han Dynasty and the Three Kingdoms period.,13.422,/nx8r4hBNddMT0cTYbvAV4ttrE2v.jpg,7.3,13
Was It Love,/j8O5jkzqo9zsL76ujJQqhoLsSjz.jpg,2020-07-08,"c(35, 18)",96161,Was It Love?,KR,ko,"우리, 사랑했을까","After 14 years devoid of romance, a struggling movie producer and single mom faces the unexpected arrival of 4 men into her life—an author, an actor, a CEO, and a younger man—who might just revive her dormant desire for love.",4.103,/yKnzIJ92GbWXRpIsHPhxWPiyF50.jpg,8.2,9
Reply 1988,/oDEPqQstDYUHUxzyHotV8yrnzGk.jpg,2015-11-06,35,64010,Reply 1988,KR,ko,응답하라 1988,A nostalgic trip back to the late 1980s through the lives of five families and their five teenage kids living in a small neighborhood in Seoul.,17.442,/mqhYVbe20pB0PQXVZVdtbMakOCF.jpg,8.7,69
Mr. Sunshine,/iFPMDgCKntxjW7X13S8Vfic3nzJ.jpg,2018-07-07,18,75820,Mr. Sunshine,KR,ko,미스터 션샤인,"Set in the early 1900s, this drama tells the story of a young man from Korea who grows up in the United States. When he returns to Korea as a US Marine Corps officer, he meets and falls in love with a noblewoman who is fighting for Korean independence. Their romance is complicated by social class and political ideology.",14.264,/iftMALeIzTYYOVmPOCsS1mQvoNz.jpg,8.4,86
Scarlet Heart: Ryeo,/i987SrMmgf7hk3EYAARHZ4q4KvX.jpg,2016-08-29,"c(18, 10765, 10768)",66433,Scarlet Heart: Ryeo,KR,ko,달의 연인 - 보보경심 려,A story of a 25-year old Go Ha-jin who is transported back in time to the Goryeo Dynasty. She then wakes up in the body of Lady Hae-soo and finds herself amongst the ruling princes of the Wang Family.,40.05,/pjdPGHqUe60ZGQJR1TItVNaV4it.jpg,8.7,371
The Good Detective,/2kmVjjuAJqx7SQwMLHgkWCCHVSi.jpg,2020-07-06,"c(80, 18, 9648)",99480,The Good Detective,KR,ko,모범형사,"A drama about the race between people who want to get closer to the truth and those who want to cover it up. Jang Seung Jo will take on the role of Oh Ji Hyuk, an elite detective of nine years who does not share his feelings with others due to pain he experienced when he was young. He is not swayed by money and power, even with the huge wealth he inherited from his uncle.",5.621,/oj9zTCRn8tfuXTcqa0UbOCO2DZX.jpg,8.6,8
"BOFURI: I Don’t Want to Get Hurt, so I’ll Max Out My Defense.",/nNwFLAtKjfs27C1TZgojNES5ZZb.jpg,2020-01-08,"c(16, 10759, 10765, 35)",96402,"Bofuri: I Don’t Want to Get Hurt, so I’ll Max Out My Defense.",JP,ja,痛いのは嫌なので防御力に極振りしたいと思います。,"Honjou Kaede is invited by her friend Shiramine Risa to play a virtual reality MMO game with her. While Kaede doesn't dislike games, what she really, truly dislikes is being in pain. She creates a character named Maple, and decides to put all her points in VIT to minimize pain. As a result, she moves slowly, can't use magic, and even a rabbit can get the best of her. But as it turns out, she acquires a skill known as ""Absolute Defense"" as a result of her pumping points into VIT, as well as a ""Counter Skill"" that works against special moves. Now, with her ability to nullify all damage, she goes on adventures.",15.722,/hBewdXsC6kfVqlo8fS9UrICrfdc.jpg,7.6,50
Graceful Friends,/kedjskqw5QOFISGrlew6228QICW.jpg,2020-07-10,"c(18, 80)",99655,Graceful Friends,KR,ko,우아한 친구들,"A group of friends gets intertwined with the death of their professor twenty years ago. Ironically, now in their 40s, they get tangled once again in one man's death. Ahn Goong Chul is a man of success who is married to a doctor and is a director at a popular chicken franchise. One day, he and his wife become suspects in a murder. Through the misunderstandings and suspicion between Ahn Goong Chul and his wife Nam Jung Hae, their relationship starts to deteriorate as secrets and shocking events unfold. Amid the chaos, Ahn Goong Chul desperately struggles to protect his family.",4.926,/mMvmOEnjxH2Z3pat4yjLFyJxRWm.jpg,8.8,8
Sporty Sisters,/kBPuRT48oKXCENwGFCKKXgOq9DE.jpg,2020-08-04,10764,113446,Sporty Sisters,KR,ko,노는 언니,Female sports stars become friends as they try out new experiences and learn something none of them quite knows how to do: letting loose and having fun!,5.708,/jaA8R8esjLre0pGXMPxNlTwzwhn.jpg,0,0
Familiar Wife,/aGdNgRYQF4EZ2GDSIagkvTkGSKu.jpg,2018-08-01,"c(18, 10765)",80741,Familiar Wife,KR,ko,아는 와이프,"After receiving a bizarre chance to go back in time, a man wakes up to find that his whole life — including the person he married — is different.",25.939,/CsVRNfNVmWeyHp6z4gBh3OGwFY.jpg,8.2,49
My Golden Kids,/ApGvX0blnHw1cAaL2QRBlJn7hUR.jpg,2020-05-29,"c(10764, 10767)",111798,My Golden Kids,KR,ko,요즘 육아 금쪽같은 내새끼,"Parenting's not an easy job, and every child is different. Experts provide tips and coaching for struggling parents in search of solutions.",27.195,/iq7VSsoyJCZZstCiM7Vw5GdXbEB.jpg,6,2
Barbaren,/iU955nBcsc5Zr5e31eWU2xKVqHk.jpg,2020-10-23,"c(10759, 18)",93785,Barbarians,DE,de,Barbaren,"Three people's fates are interwoven in the Battle of the Teutoburg Forest in 9 A.D., during which Germanic warriors halt the spread of the Roman Empire.",38.701,/trfHliK2hhw2xOJVztHqKylyzrD.jpg,7.4,387
Goblin,/smSbK5cd8T9XHcxEUcems23BDEF.jpg,2016-12-02,"c(18, 10765)",67915,Goblin,KR,ko,쓸쓸하고 찬란하神-도깨비,"In his quest for a bride to break his immortal curse, a 939-year-old guardian of souls meets a grim reaper and a sprightly student with a tragic past.",85.891,/c2gon6zbqzL73DOl8mPQMMUJXvE.jpg,8.8,2122
Taste of Wife,NA,2018-06-05,10767,99989,Taste of Wife,KR,ko,아내의 맛,Celebrity couples with varying culinary tastes and approaches to food seek the small joys of everyday living through cooking and eating.,9.359,/xmtYBhGnmEfB7w97HsOG86W8yJ3.jpg,0,0
18 Again,/hGtx3dAB6x0ShXpDk4BBvt74Mtx.jpg,2020-09-21,"c(18, 35, 10765)",99654,18 Again,KR,ko,18 어게인,"At a difficult place in his marriage and career, a middle-aged man gets a shot at a do-over when he's transformed back into his 18-year-old body.",11.625,/v6wGRQNp2XlgFlmX15R70QnwplU.jpg,8.6,127
My Love From Another Star,/ayOqM9CJxqB3ChvR6pNSYqe02Sn.jpg,2013-12-18,"c(35, 18, 10765)",60957,My Love From Another Star,KR,ko,별에서 온 그대,"Do Min Joon is an otherworldly beauty, literally. After crash landing on Earth 400 years ago, Min Joon has diligently observed humans for centuries, ultimately coming to cynical conclusions. On top of being a super babe, Min Joon's got enhanced vision, hearing and agility — all the more reason to believe he's superior to everyone on Earth. That is, until he pursues the beautiful actress Cheon Song Yi for a romance out of this world.",31.064,/zLSzBDDHgNJz63zhXC8o1ngx8Uz.jpg,8.4,653
