Year,Week,Ranking,TV,movie_zh_name,id,category,director,imdb_score
2020,33,1,It's Okay to Not Be Okay,雖然是精神病但沒關係,96462,"浪漫, 喜劇",park shin woo,8.6
2020,33,1,It's Okay to Not Be Okay,雖然是精神病但沒關係,96462,"浪漫, 喜劇",jo yong,8.6
2020,33,10,Mystic Pop-up Bar,雙甲路邊攤,99491,"網路漫改, 奇幻",bae hye soo,8
2020,33,3,Was It Love?,我們，愛過嗎？,96161,"浪漫, 喜劇",park jun seo,7.1
2020,33,4,Hospital Playlist,機智醫生生活,96102,醫療,lee woo jung,8.8
2020,33,4,Hospital Playlist,機智醫生生活,96102,醫療,shin won ho,8.8
2020,33,7,Crash Landing on You,愛的迫降,94796,"浪漫, 喜劇",park ji eun,8.7
2020,34,1,It's Okay to Not Be Okay,雖然是精神病但沒關係,96462,"浪漫, 喜劇",park shin woo,8.6
2020,34,1,It's Okay to Not Be Okay,雖然是精神病但沒關係,96462,"浪漫, 喜劇",jo yong,8.6
2020,34,2,Was It Love?,我們，愛過嗎？,96161,"浪漫, 喜劇",park jun seo,7.1
2020,34,3,Bimilui Soop,秘密森林,70626,"犯罪, 驚悚",lee soo yeon,8.5
2020,34,6,Hospital Playlist,機智醫生生活,96102,醫療,lee woo jung,8.8
2020,34,6,Hospital Playlist,機智醫生生活,96102,醫療,shin won ho,8.8
2020,34,7,Goedam,韓國都市怪談,107851,恐怖,hong won ki,5.7
2020,34,8,Crash Landing on You,愛的迫降,94796,"浪漫, 喜劇",park ji eun,8.7
2020,35,1,It's Okay to Not Be Okay,雖然是精神病但沒關係,96462,"浪漫, 喜劇",park shin woo,8.6
2020,35,1,It's Okay to Not Be Okay,雖然是精神病但沒關係,96462,"浪漫, 喜劇",jo yong,8.6
2020,35,10,Crash Landing on You,愛的迫降,94796,"浪漫, 喜劇",park ji eun,8.7
2020,35,2,Goedam,韓國都市怪談,107851,恐怖,hong won ki,5.7
2020,35,3,Was It Love?,我們，愛過嗎？,96161,"浪漫, 喜劇",park jun seo,7.1
2020,35,6,Bimilui Soop,秘密森林,70626,"犯罪, 驚悚",lee soo yeon,8.5
2020,35,9,Hospital Playlist,機智醫生生活,96102,醫療,lee woo jung,8.8
2020,35,9,Hospital Playlist,機智醫生生活,96102,醫療,shin won ho,8.8
2020,36,1,It's Okay to Not Be Okay,雖然是精神病但沒關係,96462,"浪漫, 喜劇",park shin woo,8.6
2020,36,1,It's Okay to Not Be Okay,雖然是精神病但沒關係,96462,"浪漫, 喜劇",jo yong,8.6
2020,36,10,Hospital Playlist,機智醫生生活,96102,醫療,lee woo jung,8.8
2020,36,10,Hospital Playlist,機智醫生生活,96102,醫療,shin won ho,8.8
2020,36,2,Was It Love?,我們，愛過嗎？,96161,"浪漫, 喜劇",park jun seo,7.1
2020,36,3,Bimilui Soop,秘密森林,70626,"犯罪, 驚悚",lee soo yeon,8.5
2020,36,9,Goedam,韓國都市怪談,107851,恐怖,hong won ki,5.7
2020,37,1,It's Okay to Not Be Okay,雖然是精神病但沒關係,96462,"浪漫, 喜劇",park shin woo,8.6
2020,37,1,It's Okay to Not Be Okay,雖然是精神病但沒關係,96462,"浪漫, 喜劇",jo yong,8.6
2020,37,10,Hospital Playlist,機智醫生生活,96102,醫療,lee woo jung,8.8
2020,37,10,Hospital Playlist,機智醫生生活,96102,醫療,shin won ho,8.8
2020,37,2,Bimilui Soop,秘密森林,70626,"犯罪, 驚悚",lee soo yeon,8.5
2020,37,3,Was It Love?,我們，愛過嗎？,96161,"浪漫, 喜劇",park jun seo,7.1
2020,37,4,Record of Youth,青春紀錄,99047,浪漫,ha myung hee,7.3
2020,37,4,Record of Youth,青春紀錄,99047,浪漫,ahn gil ho,7.3
2020,38,1,Record of Youth,青春紀錄,99047,浪漫,ha myung hee,7.3
2020,38,1,Record of Youth,青春紀錄,99047,浪漫,ahn gil ho,7.3
2020,38,10,Crash Landing on You,愛的迫降,94796,"浪漫, 喜劇",park ji eun,8.7
2020,38,2,It's Okay to Not Be Okay,雖然是精神病但沒關係,96462,"浪漫, 喜劇",park shin woo,8.6
2020,38,2,It's Okay to Not Be Okay,雖然是精神病但沒關係,96462,"浪漫, 喜劇",jo yong,8.6
2020,38,3,Bimilui Soop,秘密森林,70626,"犯罪, 驚悚",lee soo yeon,8.5
2020,38,4,Was It Love?,我們，愛過嗎？,96161,"浪漫, 喜劇",park jun seo,7.1
2020,39,1,Record of Youth,青春紀錄,99047,浪漫,ha myung hee,7.3
2020,39,1,Record of Youth,青春紀錄,99047,浪漫,ahn gil ho,7.3
2020,39,10,The School Nurse Files,非常校護檔案,87313,"奇幻, 書籍改編",lee kyoung mi,6.4
2020,39,10,The School Nurse Files,非常校護檔案,87313,"奇幻, 書籍改編",chung se rang,6.4
2020,39,2,Bimilui Soop,秘密森林,70626,"犯罪, 驚悚",lee soo yeon,8.5
2020,39,3,It's Okay to Not Be Okay,雖然是精神病但沒關係,96462,"浪漫, 喜劇",park shin woo,8.6
2020,39,3,It's Okay to Not Be Okay,雖然是精神病但沒關係,96462,"浪漫, 喜劇",jo yong,8.6
2020,39,8,Was It Love?,我們，愛過嗎？,96161,"浪漫, 喜劇",park jun seo,7.1
2020,40,10,SKY Castle,天空之城,84327,喜劇,jo hyun tak,8.6
2020,40,10,SKY Castle,天空之城,84327,喜劇,yoo hyun mi,8.6
2020,40,2,Record of Youth,青春紀錄,99047,浪漫,ha myung hee,7.3
2020,40,2,Record of Youth,青春紀錄,99047,浪漫,ahn gil ho,7.3
2020,40,3,Bimilui Soop,秘密森林,70626,"犯罪, 驚悚",lee soo yeon,8.5
2020,40,4,It's Okay to Not Be Okay,雖然是精神病但沒關係,96462,"浪漫, 喜劇",park shin woo,8.6
2020,40,4,It's Okay to Not Be Okay,雖然是精神病但沒關係,96462,"浪漫, 喜劇",jo yong,8.6
2020,40,5,The School Nurse Files,非常校護檔案,87313,"奇幻, 書籍改編",lee kyoung mi,6.4
2020,40,5,The School Nurse Files,非常校護檔案,87313,"奇幻, 書籍改編",chung se rang,6.4
2020,41,10,Do Do Sol Sol La La Sol,Do Do Sol Sol La La Sol,106465,"浪漫, 喜劇",kim min kyeong,7.3
2020,41,3,Record of Youth,青春紀錄,99047,浪漫,ha myung hee,7.3
2020,41,3,Record of Youth,青春紀錄,99047,浪漫,ahn gil ho,7.3
2020,41,4,Bimilui Soop,秘密森林,70626,"犯罪, 驚悚",lee soo yeon,8.5
2020,41,5,It's Okay to Not Be Okay,雖然是精神病但沒關係,96462,"浪漫, 喜劇",park shin woo,8.6
2020,41,5,It's Okay to Not Be Okay,雖然是精神病但沒關係,96462,"浪漫, 喜劇",jo yong,8.6
2020,41,8,SKY Castle,天空之城,84327,喜劇,jo hyun tak,8.6
2020,41,8,SKY Castle,天空之城,84327,喜劇,yoo hyun mi,8.6
2020,41,9,Private Lives,私生活,107442,驚悚,nam gun,6.5
2020,42,2,Record of Youth,青春紀錄,99047,浪漫,ha myung hee,7.3
2020,42,2,Record of Youth,青春紀錄,99047,浪漫,ahn gil ho,7.3
2020,42,5,Private Lives,私生活,107442,驚悚,nam gun,6.5
2020,42,6,Bimilui Soop,秘密森林,70626,"犯罪, 驚悚",lee soo yeon,8.5
2020,42,8,It's Okay to Not Be Okay,雖然是精神病但沒關係,96462,"浪漫, 喜劇",park shin woo,8.6
2020,42,8,It's Okay to Not Be Okay,雖然是精神病但沒關係,96462,"浪漫, 喜劇",jo yong,8.6
2020,43,10,It's Okay to Not Be Okay,雖然是精神病但沒關係,96462,"浪漫, 喜劇",park shin woo,8.6
2020,43,10,It's Okay to Not Be Okay,雖然是精神病但沒關係,96462,"浪漫, 喜劇",jo yong,8.6
2020,43,3,Record of Youth,青春紀錄,99047,浪漫,ha myung hee,7.3
2020,43,3,Record of Youth,青春紀錄,99047,浪漫,ahn gil ho,7.3
2020,43,5,Start-Up,START-UP：我的新創時代,99048,"浪漫, 喜劇",park hye ryun,8.1
2020,43,9,Private Lives,私生活,107442,驚悚,nam gun,6.5
2020,44,3,Record of Youth,青春紀錄,99047,浪漫,ha myung hee,7.3
2020,44,3,Record of Youth,青春紀錄,99047,浪漫,ahn gil ho,7.3
2020,44,7,Start-Up,START-UP：我的新創時代,99048,"浪漫, 喜劇",park hye ryun,8.1
2020,44,9,Private Lives,私生活,107442,驚悚,nam gun,6.5
2020,45,5,Start-Up,START-UP：我的新創時代,99048,"浪漫, 喜劇",park hye ryun,8.1
2020,45,6,Record of Youth,青春紀錄,99047,浪漫,ha myung hee,7.3
2020,45,6,Record of Youth,青春紀錄,99047,浪漫,ahn gil ho,7.3
2020,45,9,Private Lives,私生活,107442,驚悚,nam gun,6.5
2020,46,4,Start-Up,START-UP：我的新創時代,99048,"浪漫, 喜劇",park hye ryun,8.1
2020,46,8,Private Lives,私生活,107442,驚悚,nam gun,6.5
2020,46,9,Record of Youth,青春紀錄,99047,浪漫,ha myung hee,7.3
2020,46,9,Record of Youth,青春紀錄,99047,浪漫,ahn gil ho,7.3
2020,47,3,Start-Up,START-UP：我的新創時代,99048,"浪漫, 喜劇",park hye ryun,8.1
2020,47,7,Private Lives,私生活,107442,驚悚,nam gun,6.5
2020,48,10,Do Do Sol Sol La La Sol,Do Do Sol Sol La La Sol,106465,"浪漫, 喜劇",kim min kyeong,7.3
2020,48,2,Start-Up,START-UP：我的新創時代,99048,"浪漫, 喜劇",park hye ryun,8.1
2020,48,7,Private Lives,私生活,107442,驚悚,nam gun,6.5
