Year,Week,Ranking,TV,movie_zh_name,first_air_date,category,origin_country,original_language
2020,33,1,It's Okay to Not Be Okay,雖然是精神病但沒關係,2020/6/20,"浪漫, 喜劇",KR,ko
2020,33,2,Bimilui Soop,秘密森林,2017/6/10,"犯罪, 驚悚",KR,ko
2020,33,3,Three Kingdoms,三國,2010-05-02,,CN,zh
2020,33,4,Hospital Playlist,機智醫生生活,2020/3/12,醫療,KR,ko
2020,33,5,The Umbrella Academy,雨傘學院,2019/2/15,,US,en
2020,33,6,Was It Love,我們，愛過嗎？,2020-07-08,"浪漫, 喜劇",KR,ko
2020,33,7,Reply 1988,請回答 1988,2015-11-06,"浪漫, 喜劇",KR,ko
2020,33,8,Mr. Sunshine,陽光先生,2018-07-07,"浪漫, 政治",KR,ko
2020,33,9,Scarlet Heart: Ryeo,月之戀人－步步驚心：麗,2016-08-29,"浪漫, 書籍改編",KR,ko
2020,33,10,Crash Landing on You,愛的迫降,2019/12/14,"浪漫, 喜劇",KR,ko
2020,33,11,Dark Desire,暗慾,2020/7/15,,MX,es
2020,34,1,Bimilui Soop,秘密森林,2017/6/10,"犯罪, 驚悚",KR,ko
2020,34,2,It's Okay to Not Be Okay,雖然是精神病但沒關係,2020/6/20,"浪漫, 喜劇",KR,ko
2020,34,3,Hospital Playlist,機智醫生生活,2020/3/12,醫療,KR,ko
2020,34,4,Was It Love,我們，愛過嗎？,2020-07-08,"浪漫, 喜劇",KR,ko
2020,34,5,Three Kingdoms,三國,2010-05-02,,CN,zh
2020,34,6,Reply 1988,請回答 1988,2015-11-06,"浪漫, 喜劇",KR,ko
2020,34,7,Goedam,韓國都市怪談,2020/8/20,恐怖,KR,ko
2020,34,8,Scarlet Heart: Ryeo,月之戀人－步步驚心：麗,2016-08-29,"浪漫, 書籍改編",KR,ko
2020,34,9,Mr. Sunshine,陽光先生,2018-07-07,"浪漫, 政治",KR,ko
2020,34,10,The Umbrella Academy,雨傘學院,2019/2/15,,US,en
2020,35,1,Bimilui Soop,秘密森林,2017/6/10,"犯罪, 驚悚",KR,ko
2020,35,2,Goedam,韓國都市怪談,2020/8/20,恐怖,KR,ko
2020,35,3,It's Okay to Not Be Okay,雖然是精神病但沒關係,2020/6/20,"浪漫, 喜劇",KR,ko
2020,35,4,Hospital Playlist,機智醫生生活,2020/3/12,醫療,KR,ko
2020,35,5,Was It Love,我們，愛過嗎？,2020-07-08,"浪漫, 喜劇",KR,ko
2020,35,6,Lucifer,魔鬼神探,2016/1/25,,US,en
2020,35,7,Reply 1988,請回答 1988,2015-11-06,"浪漫, 喜劇",KR,ko
2020,35,8,The Good Detective,模範刑警,2020-07-06,"犯罪, 驚悚",KR,ko
2020,35,9,Scarlet Heart: Ryeo,月之戀人－步步驚心：麗,2016-08-29,"浪漫, 書籍改編",KR,ko
2020,35,10,Crash Landing on You,愛的迫降,2019/12/14,"浪漫, 喜劇",KR,ko
2020,36,1,Bimilui Soop,秘密森林,2017/6/10,"犯罪, 驚悚",KR,ko
2020,36,2,The Good Detective,模範刑警,2020-07-06,"犯罪, 驚悚",KR,ko
2020,36,3,It's Okay to Not Be Okay,雖然是精神病但沒關係,2020/6/20,"浪漫, 喜劇",KR,ko
